
catalog,catalogTitle,dataset,datasetTitle,publisher
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/ef559b00-797c-4a47-83c8-5765c688ac22,Register ad hoc štátnej pomoci,https://data.gov.sk/organization/395ADB47-BDD2-46AC-B8F1-366654BE1ED6
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/74d20c7c-03b8-41be-b05f-de80ff53107a,Zoznam objednávok PMÚ SR (08-2021),https://data.gov.sk/organization/395ADB47-BDD2-46AC-B8F1-366654BE1ED6
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/ff525d40-4fd4-4b93-9643-b312b5f8b224,Faktúry za tovary a služby RÚVZ Svidník,https://data.gov.sk/organization/02E0093C-5A75-4E89-A8A9-803EC73DACDE
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/7bbfb3f0-14ad-441b-95c6-eb113376a9d2,Zoznam poslancov pre 8. volebné obdobie,https://data.gov.sk/organization/218596D9-03A4-4342-A807-0B42BD452D29
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/55de1b2f-d1bc-4f0b-9b09-b9bd9a439670,Zoznam schránok aktivovaných na doručovanie,https://data.gov.sk/organization/8155F071-182E-4C85-B6A0-32BF69399B17
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/1d906dd8-a2d9-4ff2-adb9-fdea3af9d084,Zoznam schôdzí pre 8. volebné obdobie,https://data.gov.sk/organization/218596D9-03A4-4342-A807-0B42BD452D29
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/0587fb69-790c-4242-96b9-7cf014747496,Dotácie (schémy) - Odbor štátnych podpôr a technickej pomoci programov EÚ,https://data.gov.sk/organization/2E5A548A-983F-45BF-978A-1CD6CD22FBBC
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/6a957fd4-9ab6-495f-ab3d-be69d7572a1e,Technické parametre cestnej siete,https://data.gov.sk/organization/74297377-7AD7-4ED7-80CF-457EEA6E75AD
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/e28f0597-7128-4ad1-ab7b-a70806336bd3,Sporové konania,https://data.gov.sk/organization/E35FD29D-5194-44F2-911C-12B92D6BC36D
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/81764225-893b-4e6a-a6a1-3fbbe56fcb69,Zoznam OVM s aktivovanou elektronickou schránkou,https://data.gov.sk/organization/8155F071-182E-4C85-B6A0-32BF69399B17
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/4bcd9320-e592-4e91-bea6-23a87601aea6,"Zoznam OVM so schránkou aktivovanou na doručovanie, ktoré majú materskú identitu",https://data.gov.sk/organization/8155F071-182E-4C85-B6A0-32BF69399B17
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/095136c9-1c1b-49c9-8126-fae8d9e6e6e8,MIRRI Faktúry (2021-08-16),https://data.gov.sk/organization/1EB1F79B-D3CB-41ED-9791-50FEC7D7D6AA
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/9f2161a6-0b57-4d1b-8fe2-ca36796d14cd,Zoznam podriadených organizácií,https://data.gov.sk/organization/F4787C6F-9FA3-406C-B8D5-D374F1E1F2D3
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/91b36a17-f2c0-43ed-bc35-a10317c16170,Podniky podľa ekonomických činností (SK NACE Rev. 2) [og3005rr],https://data.gov.sk/organization/F4787C6F-9FA3-406C-B8D5-D374F1E1F2D3
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/7c196993-fcd2-407c-ac6c-f4a4ca68cef5,Register adries - Zmenové dávky registra adries,https://data.gov.sk/organization/2DF13D50-0B6F-48BA-884E-BE66DC0A2934
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/405ae27b-65ff-4a27-b4fb-faa4fab2b929,Ročný výkaz o stave vybraných ukazovateľov obhospodarovania lesa,https://data.gov.sk/organization/AA27301C-CE11-42D5-9EF7-EAE8826DE812
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/3cf33f24-f763-4fdf-b34f-3833a051d03f,Zoznam elektronických služieb a formulárov na ÚPVS,https://data.gov.sk/organization/8155F071-182E-4C85-B6A0-32BF69399B17
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/adcd6da3-bfca-4c1d-8e3d-c77a71e0cb20,Zoznam faktúr PMÚ SR (09-2021),https://data.gov.sk/organization/395ADB47-BDD2-46AC-B8F1-366654BE1ED6
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/fe1c541a-fb38-4c0e-abb4-9971fa40b7c1,Zoznam rozhodnutí PMÚ SR (09-2021),https://data.gov.sk/organization/395ADB47-BDD2-46AC-B8F1-366654BE1ED6
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/f2ff5cbe-48cc-4350-b34e-5561a719da65,MIRRI Zahraničné cestovné náklady (2021-05-25),https://data.gov.sk/organization/1EB1F79B-D3CB-41ED-9791-50FEC7D7D6AA
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/67891050-d9ba-4abd-ac4a-9bbb175d579f,Štvrťročné údaje HDP v bežných cenách [nu0002qs],https://data.gov.sk/organization/F4787C6F-9FA3-406C-B8D5-D374F1E1F2D3
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/fe438602-292f-4c96-9a3c-a67bf07a9ac5,Objednávky  tovarov a služieb RÚVZ Bardejov,https://data.gov.sk/organization/EAFB6178-F2D3-4C3D-84F0-F10D10390C75
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/fdf7a94c-6ce6-490a-a9a7-b979823735b8,Register adries - Register krajov,https://data.gov.sk/organization/2DF13D50-0B6F-48BA-884E-BE66DC0A2934
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/f2b3af7a-b4d4-45d7-9605-29fa5d7ad115,Register Adries - Register ulíc,https://data.gov.sk/organization/2DF13D50-0B6F-48BA-884E-BE66DC0A2934
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/61f8e372-2c61-4f0e-9f6f-64e8cb4e3a14,Lesné typologické jednotky,https://data.gov.sk/organization/AA27301C-CE11-42D5-9EF7-EAE8826DE812
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/43db2480-7ae2-44cc-9099-396ed2eef238,Zoznam strategických dokumentov,https://data.gov.sk/organization/F4787C6F-9FA3-406C-B8D5-D374F1E1F2D3
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/6b3b84bd-faca-4fd7-b65b-7d13f5db30ad,Zoznam schválených ŽoNFP OPII,https://data.gov.sk/organization/74297377-7AD7-4ED7-80CF-457EEA6E75AD
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/f5418938-15ae-4eb4-ac00-5f6d66752c14,Počet aktivovaných elektronických schránok na doručovanie,https://data.gov.sk/organization/8155F071-182E-4C85-B6A0-32BF69399B17
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/28499302-3e9f-4cf9-b424-107a3a6be3ea,Úradné hodiny,https://data.gov.sk/organization/2E5A548A-983F-45BF-978A-1CD6CD22FBBC
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/a3b5ea06-290d-4a0b-b0fc-57a8b8b811ae,Zoznam ukončených projektov jednoduchých pozemkových úprav,https://data.gov.sk/organization/2E5A548A-983F-45BF-978A-1CD6CD22FBBC
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/6eabf285-bc75-4c75-9b18-ea71649fc381,Spotrebiteľský barometer [kp0012ms],https://data.gov.sk/organization/F4787C6F-9FA3-406C-B8D5-D374F1E1F2D3
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/64f0f73b-41bd-4ef8-919e-196223b3d9ad,Oznámenie o výsledku verejného obstarávania podľa zákona o verejnom obstarávaní za každý  štvrťrok bežného kalendárneho roka,https://data.gov.sk/organization/2E5A548A-983F-45BF-978A-1CD6CD22FBBC
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/c37d55cb-d15d-45ba-876e-36b9d081875a,Konjunkturálny prieskum v obchode [kp0004ms],https://data.gov.sk/organization/F4787C6F-9FA3-406C-B8D5-D374F1E1F2D3
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/75bc4f22-0f69-4ff3-b130-6398f504f8c6,Zoznam objednávok PMÚ SR (09-2021),https://data.gov.sk/organization/395ADB47-BDD2-46AC-B8F1-366654BE1ED6
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/91a4285c-2bbf-46fe-88fc-3f390f750316,Prehľad o celkovej výmere poľnohospodárskej pôdy registrovanej v Ekologickej poľnohospodárskej výrobe,https://data.gov.sk/organization/3553318C-C815-4B28-8087-1F99540B3652
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/3778a10b-e0fa-4f1f-b08e-85f2b3e862ad,Dotácie (žiadosti) - Odbor štátnych podpôr a technickej pomoci programov EÚ,https://data.gov.sk/organization/2E5A548A-983F-45BF-978A-1CD6CD22FBBC
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/a2eb2954-e42b-43bb-8bca-7d84c5faf04b,Dotácie (výzvy) - Odbor štátnych podpôr a technickej pomoci programov EÚ,https://data.gov.sk/organization/2E5A548A-983F-45BF-978A-1CD6CD22FBBC
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/e3b16084-a8e5-4c68-90d3-c96d71511bcc,Register Adries - Register okresov,https://data.gov.sk/organization/2DF13D50-0B6F-48BA-884E-BE66DC0A2934
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/cee4b9cb-9fd9-49ec-94ea-2ae8d51c46f9,Zoznam platných certifikátov,https://data.gov.sk/organization/3553318C-C815-4B28-8087-1F99540B3652
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/9dfdae7f-1d0f-45ec-8cd1-38df14dc2ebe,"REST API Registra právnických osôb, podnikateľov a orgánov verejnej moci",https://data.gov.sk/organization/F4787C6F-9FA3-406C-B8D5-D374F1E1F2D3
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/db1e7bd7-a7d4-4eac-8e5e-0c843b9dc7d5,Register Adries - Register vchodov (orientačných čísiel),https://data.gov.sk/organization/2DF13D50-0B6F-48BA-884E-BE66DC0A2934
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/4305feb3-d81f-465e-b90c-34d746010133,Vestník verejného obstarávania október 2021,https://data.gov.sk/organization/656F92FC-F8ED-4DA5-A9F5-1499E03AD575
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/348ed5b2-a54d-44e0-9c4f-80c1f118a79e,Zoznam vyplatených faktúr PPA,https://data.gov.sk/organization/47C28C19-3C6A-4A0F-A186-FE4DD972A6C7
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/55a3b733-eeff-4a4d-8c45-ad1170ff56d4,Počet zriadených elektronických schránok právnických osôb podľa zdrojových registrov,https://data.gov.sk/organization/8155F071-182E-4C85-B6A0-32BF69399B17
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/bf213526-1259-419b-b072-b855539c26f0,Objednávky tovarov a služieb RÚVZ Svidník,https://data.gov.sk/organization/02E0093C-5A75-4E89-A8A9-803EC73DACDE
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/dde68094-8187-4a8a-88f3-e79a6565d6d5,Register Adries - Register častí obcí,https://data.gov.sk/organization/2DF13D50-0B6F-48BA-884E-BE66DC0A2934
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/4b3a7a81-f65b-4761-9729-d7eff31e0f83,Evidencia osvedčení o získaní oprávnenia na projektovanie pozemkových úprav,https://data.gov.sk/organization/2E5A548A-983F-45BF-978A-1CD6CD22FBBC
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/b4fcf5d3-1f55-4bfc-94b4-d3cba828d20c,Železničná sieť SR / INSPIRE,https://data.gov.sk/organization/74297377-7AD7-4ED7-80CF-457EEA6E75AD
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/aec501f3-1b04-4447-9e12-0711cde9bc97,Faktúry za tovary a služby,https://data.gov.sk/organization/3D02253B-CB60-40BC-BE57-7399B9A98493
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/2a837114-0a0e-4fc4-82d3-c037b0ffc469,Úradné hodiny,https://data.gov.sk/organization/F4787C6F-9FA3-406C-B8D5-D374F1E1F2D3
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/6a81933d-2871-46b9-a26e-8ca980f83e99,Register adries - geografická reprezentácia ulíc - cestné úseky,https://data.gov.sk/organization/2DF13D50-0B6F-48BA-884E-BE66DC0A2934
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/50e3777e-55d4-4636-9bdb-aa4c1bfe7818,Právnické osoby podľa vybraných právnych foriem - job [og3006rr],https://data.gov.sk/organization/F4787C6F-9FA3-406C-B8D5-D374F1E1F2D3
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/9379f611-615f-42c6-95a7-87805ebd94f0,Dotácie (výzvy) - Odbor riadenia a kontroly technickej pomoci PRV,https://data.gov.sk/organization/2E5A548A-983F-45BF-978A-1CD6CD22FBBC
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/2eb84b3f-3e4e-4d44-acdf-416c4955f155,Prehľad požiadaviek kontaktného centra ÚPVS,https://data.gov.sk/organization/8155F071-182E-4C85-B6A0-32BF69399B17
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/a56e8625-bd27-408d-a7ee-e38c2eb48be0,Zoznam faktúr,https://data.gov.sk/organization/2E5A548A-983F-45BF-978A-1CD6CD22FBBC
https://data.gov.sk/,CKAN,https://data.gov.sk/dataset/8efde8b7-9a3b-45ac-a5c4-2c434e94feca,Objednávky tovarov a služieb,https://data.gov.sk/organization/3D02253B-CB60-40BC-BE57-7399B9A98493
